2,Zm00001eb430460,M2,,red lines were lines deleted,,,,,Ê
1,Zm00001eb430460,M1,,,,,,,Ê
1,Zm00001eb430640,M2,,,,,,,Ê
1,Zm00001eb430640,M1,,,,,,,Ê
1,Zm00001eb430670,M2,,,,,,,Ê
1,Zm00001eb430670,M1,,,,,,,Ê
1,Zm00001eb430780,M2,,,,,,,Ê
1,Zm00001eb430780,M1,,,,,,,Ê
1,Zm00001eb430840,M2,,,,,,,Ê
1,Zm00001eb430840,M1,,,,,,,Ê
1,Zm00001eb431130,M2,,,,,,,Ê
1,Zm00001eb431130,M1,,,,,,,Ê
1,Zm00001eb431210,M2,,,,,,,Ê
1,Zm00001eb431210,M1,,,,,,,Ê
1,Zm00001eb413780,M2,,,,,,,Ê
1,Zm00001eb413780,M1,,,,,,,Ê
1,Zm00001eb413860,M2,,,,,,,Ê
1,Zm00001eb413860,M1,,,,,,,Ê
1,Zm00001eb413950,M2,,,,,,,Ê
1,Zm00001eb413950,M1,,,,,,,Ê
1,Zm00001eb414020,M2,,,,,,,Ê
1,Zm00001eb414020,M1,,,,,,,Ê
1,Zm00001eb414030,M2,,,,,,,Ê
1,Zm00001eb414030,M1,,,,,,,Ê
1,Zm00001eb414040,M2,,,,,,,Ê
1,Zm00001eb414040,M1,,,,,,,Ê
1,Zm00001eb414090,M2,,,,,,,Ê
1,Zm00001eb414090,M1,,,,,,,Ê
1,Zm00001eb414260,M2,,,,,,,Ê
1,Zm00001eb414260,M1,,,,,,,Ê
1,Zm00001eb414310,M2,,,,,,,Ê
1,Zm00001eb414310,M1,,,,,,,Ê
1,Zm00001eb414530,M2,,,,,,,Ê
1,Zm00001eb414530,M1,,,,,,,Ê
1,Zm00001eb414540,M2,,,,,,,Ê
1,Zm00001eb414540,M1,,,,,,,Ê
1,Zm00001eb414550,M2,,,,,,,Ê
1,Zm00001eb414550,M1,,,,,,,Ê
2,Zm00001eb067840,M2,,,,,,,Ê
1,Zm00001eb067840,M1,,,,,,,Ê
1,Zm00001eb083520,M2,,,,,,,Ê
1,Zm00001eb083520,M1,,,,,,,Ê
1,Zm00001eb083530,M2,,,,,,,Ê
1,Zm00001eb083530,M1,,,,,,,Ê
1,Zm00001eb083570,M2,,,,,,,Ê
1,Zm00001eb083570,M1,,,,,,,Ê
1,Zm00001eb069640,M2,,,,,,,Ê
1,Zm00001eb069640,M1,,,,,,,Ê
1,Zm00001eb165490,M1,,,,,,,Ê
1,Zm00001eb165490,M2,,,,,,,Ê
1,Zm00001eb165550,M1,,,,,,,Ê
4,Zm00001eb165550,M2,,,,,,,Ê
2,Zm00001eb237600,M2,,,,,,,Ê
3,Zm00001eb237600,M1,,,,,,,Ê
1,Zm00001eb247510,M2,,,,,,,Ê
2,Zm00001eb247510,M1,,,,,,,Ê
1,Zm00001eb247710,M2,,,,,,,Ê
1,Zm00001eb247710,M1,,,,,,,Ê
1,Zm00001eb248530,M2,,,,,,,Ê
1,Zm00001eb248530,M1,,,,,,,Ê
1,Zm00001eb248610,M2,,,,,,,Ê
1,Zm00001eb248610,M1,,,,,,,Ê
1,Zm00001eb248630,M2,,,,,,,Ê
1,Zm00001eb248630,M1,,,,,,,Ê
1,Zm00001eb258390,M2,,,,,,,Ê
2,Zm00001eb258390,M1,,,,,,,Ê
1,Zm00001eb258840,M2,,,,,,,Ê
1,Zm00001eb258840,M1,,,,,,,Ê
1,Zm00001eb221620,M2,,,,,,,Ê
1,Zm00001eb221620,M1,,,,,,,Ê
1,Zm00001eb221650,M2,,,,,,,Ê
1,Zm00001eb221650,M1,,,,,,,Ê
1,Zm00001eb221910,M2,,,,,,,Ê
1,Zm00001eb221910,M1,,,,,,,Ê
1,Zm00001eb221970,M2,,,,,,,Ê
1,Zm00001eb221970,M1,,,,,,,Ê
1,Zm00001eb222160,M2,,,,,,,Ê
1,Zm00001eb222160,M1,,,,,,,Ê
1,Zm00001eb222320,M2,,,,,,,Ê
1,Zm00001eb222320,M1,,,,,,,Ê
1,Zm00019ab237040,M2,,,,,,,Ê
2,Zm00019ab237040,M1,,,,,,,Ê
1,Zm00042ab451270,M2,,,,,,,Ê
1,Zm00042ab451270,M1,,,,,,,Ê
